"carat","cut","color","clarity","depth","table","price","x","y","z"
0.5,"Premium","F","VVS2",62.7,56,1987,5.08,5.03,3.17
0.3,"Premium","G","VS1",62.4,58,776,4.24,4.22,2.64
0.4,"Ideal","G","SI2",60.4,56,745,4.78,4.82,2.9
1.31,"Ideal","H","SI1",60.8,56,7519,7.12,7.08,4.32
0.33,"Ideal","F","VVS2",61.4,55,761,4.48,4.51,2.76
0.33,"Ideal","H","VVS2",60.9,57,666,4.48,4.52,2.74
0.55,"Ideal","D","VS1",61.5,56,2020,5.28,5.26,3.24
0.33,"Premium","H","IF",62,58,868,4.39,4.42,2.73
0.31,"Ideal","F","SI1",61.2,55,568,4.37,4.4,2.68
1.13,"Ideal","I","VS1",61.9,55,6980,6.67,6.7,4.14
1.05,"Ideal","F","SI1",60.6,59,5586,6.51,6.56,3.96
1.5,"Ideal","I","VS1",61.3,57,9900,7.32,7.35,4.5
1.01,"Ideal","F","VS2",61,57,6416,6.38,6.5,3.93
0.31,"Very Good","I","VVS1",62.2,60,571,4.3,4.32,2.68
1.05,"Ideal","I","SI1",62.1,59,4516,6.5,6.47,4.03
0.51,"Ideal","F","VVS2",61.4,56,2025,5.16,5.17,3.17
0.37,"Premium","D","VVS2",60.7,59,1038,4.66,4.63,2.82
1.51,"Premium","E","SI1",59.6,61,12236,7.53,7.43,4.46
0.4,"Ideal","F","VS1",61.3,57,917,4.74,4.78,2.92
0.31,"Good","F","VS2",63.9,56,625,4.29,4.32,2.75
0.5,"Ideal","D","VVS2",61.8,54.1,2639,5.1,5.14,3.16
0.34,"Ideal","D","SI1",62.3,57,626,4.44,4.48,2.78
0.33,"Ideal","G","VS1",61.1,55,699,4.5,4.52,2.75
0.92,"Ideal","E","SI1",61,55,4791,6.27,6.25,3.82
1.18,"Premium","G","VVS2",59.7,58,9537,6.94,6.9,4.13
0.4,"Premium","G","SI1",62,59,900,4.74,4.71,2.93
0.92,"Premium","I","SI1",60.4,59,2730,6.31,6.24,3.79
0.34,"Ideal","G","VS1",62,55,681,4.47,4.5,2.78
0.27,"Premium","E","VS1",61.5,58,603,4.22,4.17,2.58
1.54,"Premium","F","SI1",62.8,58,9926,7.35,7.32,4.61
1.2,"Ideal","G","VS1",62.4,57.1,8698,6.72,6.79,4.23
0.38,"Ideal","G","SI1",62.4,57,855,4.65,4.62,2.89
2,"Ideal","I","SI2",61.7,56,15092,8,8.13,4.98
1.5,"Fair","H","VVS2",65.8,57,7476,7.19,7.15,4.72
1.05,"Fair","G","VS2",65.5,57,5673,6.38,6.34,4.17
0.91,"Ideal","G","SI2",62.7,57,3557,6.15,6.19,3.87
1.17,"Fair","I","I1",64.5,59,2336,6.67,6.47,4.25
1,"Fair","H","SI2",66.1,59,3472,6.18,6.13,4.07
1.57,"Ideal","I","SI1",62,59,9095,7.41,7.45,4.61
0.61,"Very Good","E","IF",61.7,58,3337,5.39,5.47,3.35
0.31,"Ideal","I","VS2",62.3,53.8,447,4.32,4.36,2.7
0.3,"Ideal","G","VVS1",61.6,58,764,4.31,4.32,2.66
0.31,"Ideal","D","SI1",62.9,56,732,4.34,4.31,2.72
0.34,"Ideal","G","IF",61.9,57,1014,4.47,4.48,2.77
0.31,"Very Good","D","SI1",63.5,56,732,4.31,4.29,2.73
0.42,"Ideal","H","VS1",62.4,57,847,4.76,4.79,2.98
0.58,"Ideal","H","VVS1",62.1,53.6,1961,5.35,5.38,3.34
0.41,"Very Good","H","VVS1",61.7,58,991,4.74,4.79,2.94
1.02,"Premium","G","VS2",62,57,5581,6.48,6.43,4
0.73,"Ideal","F","VVS1",61.1,56,4171,5.83,5.86,3.57
0.28,"Good","G","VS2",61.8,61,394,4.2,4.21,2.6
1.13,"Premium","F","IF",59.8,60,12549,6.82,6.76,4.06
0.3,"Ideal","F","IF",62.3,57,886,4.29,4.31,2.68
0.38,"Ideal","J","VVS2",61.4,56,629,4.68,4.7,2.88
0.32,"Ideal","E","VVS2",61.6,57,842,4.4,4.43,2.72
0.32,"Ideal","H","VS2",63,57,648,4.37,4.33,2.74
1.02,"Very Good","F","VS2",59.4,58,6479,6.52,6.62,3.9
0.3,"Very Good","H","VS2",62.6,58,473,4.22,4.28,2.66
0.79,"Very Good","H","VS1",63.7,56,2784,5.85,5.92,3.75
0.49,"Very Good","E","SI1",63.6,57.9,1400,4.96,4.99,3.16
0.3,"Very Good","I","VVS1",60.5,60,552,4.32,4.34,2.62
1.2,"Ideal","E","VVS1",61.8,56,16256,6.78,6.87,4.22
1.11,"Premium","F","SI2",62.1,58,4283,6.63,6.51,4.1
0.73,"Premium","J","VS1",60.2,58,2037,5.87,5.82,3.52
0.7,"Premium","G","VS2",60.8,58,2317,5.75,5.8,3.51
0.78,"Very Good","F","VS1",63.3,56,3563,5.84,5.89,3.71
2.46,"Ideal","J","SI2",62.3,57,16466,8.66,8.57,5.37
0.53,"Ideal","E","SI1",61.2,54,1303,5.21,5.25,3.2
0.31,"Ideal","I","VS2",59.9,57,435,4.38,4.4,2.63
2.03,"Ideal","F","SI2",62.4,57,12677,8.09,8.02,5.03
0.34,"Ideal","D","VS1",60.3,57,914,4.52,4.55,2.73
1.04,"Premium","J","SI1",60.2,56,4036,6.61,6.54,3.96
0.55,"Very Good","H","VS2",60.2,59,1327,5.36,5.24,3.19
0.34,"Ideal","E","VS1",62.2,55,1033,4.52,4.49,2.8
1.05,"Ideal","D","SI1",60.7,60,6196,6.52,6.56,3.97
0.44,"Good","G","IF",58.5,61,1407,4.99,5.03,2.93
1.57,"Ideal","H","I1",62.8,56,5170,7.42,7.36,4.64
1.01,"Very Good","G","VS1",63.1,59,5294,6.32,6.23,3.96
1,"Premium","G","IF",61.4,59,7822,6.47,6.39,3.95
0.33,"Premium","I","VS2",62,60,594,4.46,4.41,2.75
0.3,"Ideal","G","VS1",62.3,56,555,4.29,4.31,2.68
0.31,"Ideal","G","VVS2",61.7,54,707,4.34,4.38,2.69
0.71,"Very Good","F","VS1",62.2,58,2807,5.66,5.72,3.54
0.33,"Ideal","E","VS2",61.8,55,723,4.45,4.48,2.76
1.03,"Premium","H","VS1",62,59,5523,6.45,6.48,4.01
1.75,"Premium","I","VS1",60.6,60,12529,7.84,7.8,4.74
2.14,"Very Good","I","VS2",62.8,59,15931,8.16,8.21,5.14
0.36,"Ideal","G","IF",61.6,55,1074,4.57,4.59,2.82
0.56,"Ideal","F","SI1",61.4,57,1441,5.3,5.28,3.25
0.34,"Ideal","D","VVS1",61.7,57,1133,4.49,4.52,2.78
0.58,"Fair","G","VS2",65,56,1430,5.23,5.17,3.38
0.9,"Very Good","G","SI1",63.8,53,3615,6.1,6.16,3.91
0.91,"Good","F","SI1",66.1,57,3893,5.99,6.03,3.97
0.51,"Ideal","F","VVS2",61.8,56,2098,5.13,5.16,3.18
0.7,"Fair","F","SI2",64.9,58,2035,5.46,5.59,3.59
0.7,"Ideal","G","SI1",61.1,55,2335,5.72,5.76,3.51
1,"Very Good","E","VVS2",63,58,9224,6.33,6.36,4
1.03,"Ideal","D","SI2",61.2,57,4764,6.59,6.51,4.01
1,"Premium","E","VS2",60,60,6720,6.43,6.43,3.89
0.73,"Ideal","H","VVS2",61.6,56,2846,5.79,5.84,3.58
0.31,"Ideal","D","SI2",62.9,54,593,4.35,4.3,2.72
0.91,"Premium","D","SI2",61,61,3943,6.24,6.16,3.78
1.24,"Very Good","J","SI2",63.3,60,3908,6.83,6.75,4.29
2.04,"Premium","I","SI1",58.8,60,14775,8.42,8.32,4.92
1.19,"Premium","H","SI1",61.3,58,6078,6.82,6.78,4.17
0.96,"Very Good","D","SI2",60.2,63,3419,6.36,6.3,3.81
0.59,"Good","D","SI1",63.8,57,1431,5.31,5.26,3.37
2.04,"Ideal","G","SI1",61.9,58,18153,8.12,8.16,5.04
1.06,"Ideal","I","SI2",62.8,55,3146,6.51,6.46,4.07
0.5,"Ideal","F","VVS1",60.4,56,2165,5.16,5.21,3.13
1.21,"Premium","H","SI2",62.1,56,5082,6.8,6.76,4.21
0.73,"Very Good","G","VS1",60.7,55,3011,5.87,5.89,3.57
0.4,"Premium","J","VS1",60.7,60,810,4.79,4.76,2.9
1,"Premium","F","SI1",60.5,56,5292,6.48,6.45,3.91
0.3,"Premium","H","VVS2",62.9,57,776,4.31,4.28,2.7
0.41,"Fair","G","VVS2",64.7,56,833,4.68,4.72,3.04
1.01,"Premium","H","SI1",62.3,58,5090,6.44,6.4,4
0.41,"Premium","F","SI2",59,58,775,4.89,4.87,2.88
0.33,"Good","D","SI2",63.4,56,492,4.4,4.43,2.8
0.73,"Ideal","F","SI2",62.1,56,2712,5.8,5.76,3.59
0.35,"Premium","J","VS1",62.4,58,949,5.67,5.64,3.53
1.5,"Very Good","I","VS1",62.2,59,10164,7.27,7.3,4.53
1.1,"Premium","H","SI2",62.6,57,4558,6.6,6.56,4.12
0.28,"Ideal","H","VS2",62.5,54,467,4.2,4.22,2.63
0.5,"Good","D","SI2",63.7,60,925,5.09,5.02,3.22
1.24,"Ideal","D","SI1",61.9,56,6805,6.9,6.87,4.26
0.84,"Ideal","J","VS2",61.1,57,2709,6.09,6.12,3.73
0.3,"Premium","G","SI1",61.6,59,574,4.28,4.26,2.63
0.77,"Very Good","D","VS2",63.1,57,3428,5.86,5.83,3.69
0.52,"Good","G","IF",59.8,57,2093,5.24,5.27,3.14
0.75,"Premium","I","SI2",61.1,57,2070,5.88,5.84,3.58
1.09,"Ideal","E","SI2",61.9,55,5127,6.64,6.6,4.1
0.31,"Fair","E","VS2",55.9,62,581,4.6,4.56,2.56
0.32,"Ideal","F","VS1",61.1,57,652,4.42,4.45,2.71
1.19,"Premium","J","SI1",63,54,4498,6.82,6.74,4.27
0.34,"Premium","F","VS2",61.2,59,686,4.47,4.52,2.75
2.1,"Very Good","J","VS2",61.5,60.7,13340,8.16,8.21,5.03
0.42,"Premium","E","SI1",61.6,59,992,4.85,4.83,2.98
2.38,"Premium","H","SI1",58.2,60,16643,8.81,8.78,5.12
0.7,"Premium","F","SI1",62.6,55,2184,5.65,4.5,3
0.5,"Premium","E","SI1",61.5,62,1415,5.09,5.06,3.12
0.34,"Premium","G","VS2",60.3,54,765,4.56,4.53,2.74
0.48,"Fair","E","VS2",64.9,54,1215,4.94,4.92,3.2
0.41,"Good","F","SI1",63.1,56,685,4.69,4.73,2.97
0.31,"Premium","E","SI1",61.2,58,651,4.38,4.34,2.67
1.06,"Very Good","G","I1",60.7,63,2080,6.59,6.56,3.99
0.91,"Good","D","SI2",63.8,58,3781,6.09,6.04,3.87
0.3,"Ideal","H","VS2",62.2,54,491,4.33,4.35,2.7
0.3,"Ideal","E","VS2",61.5,55,673,4.3,4.34,2.66
0.32,"Premium","D","SI1",61.3,60,589,4.41,4.43,2.71
0.31,"Ideal","E","VS1",61.7,56,734,4.37,4.41,2.71
0.56,"Fair","E","SI1",64.5,61,1358,5.22,5.09,3.33
1,"Fair","E","SI1",66.5,55,3696,6.21,6.19,4.12
0.61,"Premium","D","SI2",60.8,57,1308,5.48,5.4,3.31
